id,borough,neighborhood,whoRaceNonWhite,whoBornOutside,socioecoHighSchool,socioecoPoverty,socioecoUnemployment,socioecoRent,socioecoHelpful,homeDefects,homeRoaches,homeAir,homeBike,homePedInjury,homeBodega,homeFarmersMarket,healthChildObesity,healthChildAsthma,healthPhysicalActivity,healthUninsured,healthMedCare,healthFluVacc,healthAdultObesity,healthInfantMortality,healthLifeExpectancy,whoRaceNonWhiteValue,whoBornOutsideValue,socioecoHighSchoolValue,socioecoPovertyValue,socioecoUnemploymentValue,socioecoRentValue,socioecoHelpfulValue,homeDefectsValue,homeRoachesValue,homeAirValue,homeBikeValue,homePedInjuryValue,homeBodegaValue,homeFarmersMarketValue,healthChildObesityValue,healthChildAsthmaValue,healthPhysicalActivityValue,healthUninsuredValue,healthMedCareValue,healthFluVaccValue,healthAdultObesityValue,healthInfantMortalityValue,healthLifeExpectancyValue
211,Bronx,Morris Park and Bronxdale,7.506024096,4.75,5.973684211,5.666666667,7,6.785714286,6.896551724,5.578947368,5.021276596,3.377358491,3,3.131578947,3.333333333,2.125,8.043478261,5.31825525,4.24,4.24,6.785714286,4.413793103,7.631578947,10,5,76,35,24,21,12,55,76,47,21,7.4,10,18,17,1,23,325,74,12,12,44,32,8.1,79.9
203,Bronx,Morrisania and Crotona,10,4,8.815789474,9,10,8.392857143,2.551724138,2.421052632,9.042553191,4.056603774,6.8,6.921052632,2.166666667,2.125,8.434782609,7.019386107,2.08,4.24,8.714285714,7.206896552,8.578947368,7.904109589,1.916666667,99,31,36,31,16,60,62,27,42,7.8,29,34,10,1,24,442,68,12,15,53,36,6.4,76.2
201,Bronx,Mott Haven and Melrose,10,3.8125,10,8.333333333,7,7.75,1,1.947368421,8.659574468,5.41509434,4.6,9.052631579,4.666666667,4.375,8.434782609,10,1,4.96,5.5,8.137931034,10,6.301369863,3.083333333,99,30,41,29,12,58,57,24,40,8.6,18,43,25,3,24,647,65,14,10,56,42,5.1,77.6
306,Brooklyn,Park Slope and Carroll Gardens,3.277108434,1.375,2.421052632,2,2.5,1,8.75862069,3.210526316,4.255319149,5.924528302,6.8,3.131578947,2.5,4.375,2.565217391,2.235864297,8.56,1.36,2.928571429,7.206896552,3.605263158,2.232876712,6.25,37,17,9,10,6,37,82,32,17,8.9,29,18,12,3,9,113,86,4,6,53,15,1.8,81.4
209,Bronx,Parkchester and Soundview,9.891566265,4.1875,7.394736842,7.333333333,7.75,6.785714286,3.482758621,4.631578947,8.276595745,3.716981132,4,5.026315789,2.666666667,3.25,8.826086957,5.66720517,3.88,4.96,7.428571429,5.344827586,7.631578947,7.410958904,4.833333333,98,32,30,26,13,55,65,41,38,7.6,15,26,13,2,25,349,73,14,13,47,32,6,79.7
413,Queens,Queens Village,8.807228916,6.0625,3.368421053,3,4,5.178571429,6.586206897,7.789473684,2.723404255,1.849056604,1.6,1.947368421,2.833333333,1,6.869565217,2.264943457,2.08,3.88,6.142857143,5.655172414,6.447368421,7.04109589,7.5,88,42,13,13,8,50,75,61,9,6.5,3,13,14,0,20,115,68,11,11,48,27,5.7,82.9
406,Queens,Rego Park and Forest Hills,4.578313253,7.5625,2.184210526,4,2.5,5.178571429,6.586206897,6.052631579,5.787234043,3.547169811,1,1.947368421,1.333333333,2.125,3.347826087,1.363489499,2.08,3.88,3.571428571,2.551724138,4.552631579,3.835616438,8.75,49,50,8,16,6,50,75,50,25,7.5,0,13,5,1,11,53,68,11,7,38,19,3.1,84.4
405,Queens,Ridgewood and Maspeth,4.469879518,5.5,4.078947368,5,2.5,3.892857143,7.206896552,7.947368421,2.914893617,4.396226415,3,2.657894737,3,2.125,6.47826087,2.264943457,2.08,4.6,7.428571429,2.862068966,5.263157895,2.232876712,6.25,48,39,16,19,6,46,77,62,10,8,10,16,15,1,19,115,68,13,13,39,22,1.8,81.4
208,Bronx,Riverdale and Fieldston,6.421686747,4.5625,4.552631579,3.666666667,4.75,5.821428571,7.206896552,4.315789474,5.595744681,3.547169811,1.4,2.894736842,2.166666667,5.5,7.260869565,3.762520194,3.52,2.8,6.785714286,5.034482759,5.736842105,5.438356164,5.833333333,66,34,18,15,9,52,77,39,24,7.5,2,17,10,4,21,218,72,8,12,46,24,4.4,80.9
414,Queens,Rockaway and Broad Channel,6.530120482,3.0625,5.5,4.666666667,4.75,6.142857143,7.827586207,5.105263158,4.829787234,1,3.6,2.894736842,1.833333333,3.25,8.043478261,3.035541195,3.52,3.88,5.5,2.551724138,7.631578947,7.780821918,2.166666667,67,26,22,18,9,53,79,44,20,6,13,17,8,2,23,168,72,11,10,38,32,6.3,76.5
